email,commission,points,registerpoints,signinpoints,twitter_x_id_points,discordid_points,telegramid_points,bonus_points,epoch01,totalPoints
bull1@nodeverse.ai,46874.2,28798,6,17,5000,5000,5000,0,0,90695.2
bull1@tourzy.us,0,20195,6,15,5000,5000,5000,0,0,35216
bull4@nodeverse.ai,0,37668,6,16,5000,5000,5000,0,0,52690
bull3@nodeverse.ai,51159.6,21631,6,16,5000,5000,5000,0,0,87812.6
bull5@nodeverse.ai,219876.00000000003,35422.5,6,18,5000,5000,5000,0,0,270322.5
bull6@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull7@tourzy.us,0,13342,6,11,5000,5000,5000,0,0,28359
bull9@nodeverse.ai,0,27984,6,14,5000,5000,5000,0,0,43004
bull10@nodeverse.ai,0,27984,6,14,5000,5000,5000,0,0,43004
bull11@nodeverse.ai,1019.5000000000001,72990.5,6,22,5000,5000,5000,0,0,89038
bull12@nodeverse.ai,0,27115.5,6,12,5000,5000,5000,0,0,42133.5
bull13@nodeverse.ai,0,9785.5,6,12,5000,5000,5000,0,0,24803.5
bull14@nodeverse.ai,0,36312.5,6,15,5000,5000,5000,0,0,51333.5
bull15@nodeverse.ai,0,19949.5,6,12,5000,5000,5000,0,0,34967.5
bull16@nodeverse.ai,0,18147.5,6,11,5000,5000,5000,0,0,33164.5
bull17@nodeverse.ai,0,19361,6,11,5000,5000,5000,0,0,34378
bull18@nodeverse.ai,0,12860.5,6,11,5000,5000,5000,0,0,27877.5
bull19@nodeverse.ai,0,15908,6,13,5000,5000,5000,0,0,30927
bull20@nodeverse.ai,0,18496.5,6,11,5000,5000,5000,0,0,33513.5
bull21@nodeverse.ai,0,9605.5,6,12,5000,5000,5000,0,0,24623.5
bull22@nodeverse.ai,0,34693.5,6,14,5000,5000,5000,0,0,49713.5
bull23@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull24@nodeverse.ai,0,11295,6,12,5000,5000,5000,0,0,26313
bull25@nodeverse.ai,0,29544.5,6,14,5000,5000,5000,0,0,44564.5
bull28@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull29@nodeverse.ai,0,9395,6,11,5000,5000,5000,0,0,24412
bull30@nodeverse.ai,0,11844.5,6,12,5000,5000,5000,0,0,26862.5
bull31@nodeverse.ai,0,23275,6,12,5000,5000,5000,0,0,38293
bull32@nodeverse.ai,0,20693,6,14,5000,5000,5000,0,0,35713
bull33@nodeverse.ai,0,15901,6,13,5000,5000,5000,0,0,30920
bull34@nodeverse.ai,0,12063,6,12,5000,5000,5000,0,0,27081
bull35@nodeverse.ai,0,0,0,0,0,0,0,0,0,0
bull36@nodeverse.ai,0,4029.5,6,11,5000,5000,5000,0,0,19046.5
bull37@nodeverse.ai,0,21353.5,6,13,5000,5000,5000,0,0,36372.5
bull38@nodeverse.ai,0,18467.5,6,12,5000,5000,5000,0,0,33485.5
bull39@nodeverse.ai,0,18513,6,12,5000,5000,5000,0,0,33531
